Title,Year,Note
More,1969,5/7 CTV_2022-01-11 - Toxic Lovers& 8/8 CTV_2021-07-12 - The Needle and the Damage Done
Lovers of the Arctic Circle,1998,6/7 CTV_2022-01-11 - Toxic Lovers
Pola X,1999,7/7 CTV_2022-01-11 - Toxic Lovers
The Boy from Hell,2004,1/12 CTV_2022-01-07 - CURSED KIDS
The Pit,1981,2/12 CTV_2022-01-07 - CURSED KIDS& 3/8 CTV_2020-07-31 - It’s CREATURE FEATURE FRIDAY! Strange and crazy horror from the beyond!
The Brood,1979,3/12 CTV_2022-01-07 - CURSED KIDS& 9/12 CTV_2021-03-11 - CRONENBERG!
Suffer Little Children,1983,4/12 CTV_2022-01-07 - CURSED KIDS& 2/10 CTV_2021-08-05 - VHS Nightmares (Redux): Shot On Video Horror Films from 1982-1992
The Children,1980,5/12 CTV_2022-01-07 - CURSED KIDS
Don’t Deliver Us from Evil,1971,7/12 CTV_2022-01-07 - CURSED KIDS
The Child,1977,"8/12 CTV_2022-01-07 - CURSED KIDS& 10/11 CTV_2021-06-18 - POWERS OF THE MIND!& 6/7 CTV_2021-04-07 - CREEPY GIRLS!  Another amazing curation by artist Matt Minter aka @worsethanjail& 3/10 CTV_2020-08-06 - Love is hell, love is bliss.  Through the night and into tomorrow we explore the maze of the heart."
Cathy’s Curse,1977,9/12 CTV_2022-01-07 - CURSED KIDS& 3/7 CTV_2021-04-07 - CREEPY GIRLS!  Another amazing curation by artist Matt Minter aka @worsethanjail
Audrey Rose,1977,11/12 CTV_2022-01-07 - CURSED KIDS& 7/8 CTV_2021-10-20 - Supernatural Horror!& 6/9 CTV_2020-10-26 - Supernatural Terrors!
Bad Ronald,1974,12/12 CTV_2022-01-07 - CURSED KIDS& 6/7 CTV_2021-01-13 - Cathode comrade and artist Matt Minter aka @worsethanjail presents: Mondo Weirdo!
Mask,1985,1/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022
Saint Jack,1979,"2/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022& 5/7 CTV_2020-08-10 - Lost in the Fringe: Seedy characters navigating through the hard road, whether it be by choice or desperation."
Targets,1968,3/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022
They All Laughed,1981,"4/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022& 6/7 CTV_2021-04-01 - TAROT THEATER: The Fool.  Films Inspired By Major Arcana Tarot Cards. ""The Fool represents a long journey, wandering, chaos, madness and is a Holy Buffoon"""
"What’s Up, Doc?",1972,5/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022
Paper Moon,1973,6/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022
Nickelodeon,1976,7/7 CTV_2022-01-06 - .  Peter Bogdanovich 1939-2022
Frankie of The Head,1995,1/9 CTV_2022-01-05 - Weirdos & Outcasts!
Pecker,1998,2/9 CTV_2022-01-05 - Weirdos & Outcasts!
Bad Boy Bubby,1993,3/9 CTV_2022-01-05 - Weirdos & Outcasts!
The Sadist,1963,5/9 CTV_2022-01-05 - Weirdos & Outcasts!& 5/8 CTV_2020-12-07 - The Sun Drenched Dark: California Nightmares
Spider-Baby,1967,6/9 CTV_2022-01-05 - Weirdos & Outcasts!& 9/10 CTV_2021-02-01 - Black & White Shockers!& 10/10 CTV_2020-08-26 - Bad Girls Have More Fun!
The Cremator,1969,7/9 CTV_2022-01-05 - Weirdos & Outcasts!
Nigel The Psychopath at Large,1994,8/9 CTV_2022-01-05 - Weirdos & Outcasts!
Vampire’s Kiss,1988,9/9 CTV_2022-01-05 - Weirdos & Outcasts!
Soylent Green,1973,1/7 CTV_2022-01-04 - It’s the year 2022….
The Dark Side of the Moon,1990,2/7 CTV_2022-01-04 - It’s the year 2022….
Time Runner,1993,3/7 CTV_2022-01-04 - It’s the year 2022….
Alien Intruder,1993,4/7 CTV_2022-01-04 - It’s the year 2022….
No Escape,1994,5/7 CTV_2022-01-04 - It’s the year 2022….
2022 Tsunami AKA Deathwave,2009,6/7 CTV_2022-01-04 - It’s the year 2022….
Safer at Home,2021,7/7 CTV_2022-01-04 - It’s the year 2022….
Terror Train,1980,1/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!
New Years Evil,1980,2/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!
Bloody New Year,1987,3/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 2/8 CTV_2021-05-19 - We are thrilled to welcome back our pal @hamburgerlady for a special all HAUNTED HOUSE SHOW!
Nightdreams,1981,"5/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 4/10 CTV_2021-11-26 - FREAKY FRIDAY: Wigged out, drugged out & downright outrageous cinema!"
Tokyo Decadence,1992,7/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 6/12 CTV_2021-11-18 - REALITY (XOXO WHUUUT)& 9/10 CTV_2021-02-14 - A Very Hot Duck Valentines Show! Curated by @1800hotduck
The Man Who Stole the Sun,1979,"8/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 1/6 CTV_2021-04-22 - Guest Programmer Eugene Kotlyarenko aka @madabouteug presents a special lineup of transgressive and anti-social behaviors straight from Nippon, to celebrate the Japanese premiere of his movie SPREE (rd)!"
The Devil Story,1986,9/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!
Hail the New Puritan,1987,10/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!
Cards of Death,1986,"12/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 2/10 CTV_2021-11-26 - FREAKY FRIDAY: Wigged out, drugged out & downright outrageous cinema!"
Alabama’s Ghost,1973,13/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 9/10 CTV_2021-07-23 - BLAXPLOITATION 2: More Black American Genre Cinema 1973-1979& 4/10 CTV_2021-02-19 - BLAXPLOITATION: Black American Genre Cinema 1969-1976
Bunker Palace Hotel,1989,"14/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!& 8/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
A Casa,1997,16/16 CTV_2021-12-31 - NYE + STAFF PICKS 2021!  We got some New Year’s horror trash followed by a weekend of some of our favorite picks from 2021!
Kamikaze 1989,1982,1/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 4/7 CTV_2021-01-04 - Bizarre Noir!
Cool World,1992,2/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 2/7 CTV_2021-01-04 - Bizarre Noir!
Alphaville,1965,4/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 5/8 CTV_2021-02-25 - Strange Realities!& 7/7 CTV_2021-01-04 - Bizarre Noir!
Dark City,1998,5/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 1/7 CTV_2021-01-04 - Bizarre Noir!
Dementia,1955,"6/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 6/7 CTV_2021-01-04 - Bizarre Noir!& 3/8 CTV_2020-10-05 - Tales From LA: Noirs, Jazz, Poets, Nightmares & Cinema."
Dick Tracy,1990,"7/7 CTV_2021-12-30 - Bizarre Noir (REDUX)!& 1/9 CTV_2021-01-20 - HEY KIDS, COMICS: Presented by comic book and magazine maestro @astraleyez"
The Secret of Magic Island,1957,1/8 CTV_2021-12-29 - Creatures of the Wild
The Bear,1988,2/8 CTV_2021-12-29 - Creatures of the Wild
Zoo zéro,1979,3/8 CTV_2021-12-29 - Creatures of the Wild
Roar,1981,4/8 CTV_2021-12-29 - Creatures of the Wild& 8/10 CTV_2021-09-10 - Killer Critters of the Earth! Shout out to @theodore_ted_logan for the contributions!!
Max Mon Amour,1986,5/8 CTV_2021-12-29 - Creatures of the Wild
The Cassandra Cat,1963,6/8 CTV_2021-12-29 - Creatures of the Wild& 3/8 CTV_2021-01-25 - The Cats & Dogs Show!
Hachiko,1987,7/8 CTV_2021-12-29 - Creatures of the Wild
Donkey In A Brahmin Village,1977,8/8 CTV_2021-12-29 - Creatures of the Wild
Make a Face Grandma,1977,"1/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Norwood,1983,"2/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Pestilent City,1965,"3/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Mikey and Nicky,1976,"4/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Voice Over,1983,"5/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Krysař,1986,"6/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
The Duellists,1977,"7/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
A Visitor to A Museum,1989,"9/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
My Friend Ivan Lapshin,1985,"10/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Images of Leonard Baskin,1967,"11/11 CTV_2021-12-28 - – Irrational Impulses and Strange Allegories, curated by @halflightcabs"
Christmas Evil,1980,1/8 CTV_2021-12-24 - Holiday HELL Returns!& 8/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 2/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
Black Christmas,1974,2/8 CTV_2021-12-24 - Holiday HELL Returns!& 7/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 1/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
Blood Beat,1983,3/8 CTV_2021-12-24 - Holiday HELL Returns!
"Silent Night, Deadly Night",1984,4/8 CTV_2021-12-24 - Holiday HELL Returns!& 9/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 3/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
Winterbeast,1991,5/8 CTV_2021-12-24 - Holiday HELL Returns!
Don’t Open Till Christmas,1984,6/8 CTV_2021-12-24 - Holiday HELL Returns!& 10/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 5/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
"Silent Night, Deadly Night Part 2",1987,7/8 CTV_2021-12-24 - Holiday HELL Returns!& 11/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 6/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
"Silent Night, Bloody Night",1972,8/8 CTV_2021-12-24 - Holiday HELL Returns!& 12/13 CTV_2020-12-25 - ALL DAY!  Cathode TV Xmas Day Fiesta! We are BACK after the Grinch cut our internet power!  We will be playing a special daytime show and re-airing last night’s program for you all!!!& 7/8 CTV_2020-12-24 - Holiday HELL!  (*note: ’s program will not rerun tomorrow)
The Night Before Christmas,1961,2/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!& 2/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
Kingdom of Crooked Mirrors,1963,3/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!& 3/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
The Golden Horns,1972,4/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!& 9/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
Jack Frost,1964,5/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!& 8/9 CTV_2020-12-23 - The Astraleyez Holiday Special! @astraleyez
The Little Mermaid,1976,6/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!& 7/7 CTV_2020-07-14 - Surrealistic Circus Playground!
Alice au pays des merveilles,1970,7/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!
Ruslan and Ludmila,1972,8/8 CTV_2021-12-23 - Fantastique Fairytale Folklore Films presented by @astraleyez !!
The Silent Partner,1978,"2/6 CTV_2021-12-22 - NOT QUITE XMAS!& 5/7 CTV_2020-11-11 - Crooks, Hustlers, Swindlers & Cons PART 2!"
Die Hard,1988,3/6 CTV_2021-12-22 - NOT QUITE XMAS!
Lady in the Lake,1947,4/6 CTV_2021-12-22 - NOT QUITE XMAS!
Eyes Wide Shut,1999,5/6 CTV_2021-12-22 - NOT QUITE XMAS!
Toys,1992,6/6 CTV_2021-12-22 - NOT QUITE XMAS!
Jesus Christ Superstar,1973,1/10 CTV_2021-12-21 - JESUS CHRIST
Assassin 33A.D.,2020,2/10 CTV_2021-12-21 - JESUS CHRIST
The Last Temptation of Christ,1988,3/10 CTV_2021-12-21 - JESUS CHRIST
Monty Python's Life of Brian,1979,4/10 CTV_2021-12-21 - JESUS CHRIST
Jesus Christ Vampire Hunter,2001,5/10 CTV_2021-12-21 - JESUS CHRIST
The Passover Plot,1976,6/10 CTV_2021-12-21 - JESUS CHRIST
King of Kings,1961,7/10 CTV_2021-12-21 - JESUS CHRIST
The Gospel According to St. Matthews,1964,8/10 CTV_2021-12-21 - JESUS CHRIST& 7/12 CTV_2021-05-12 - 24 hours of Films by Pier Paolo Pasolini
Jesus of Montreal,1989,9/10 CTV_2021-12-21 - JESUS CHRIST
The Passion of the Christ,2004,10/10 CTV_2021-12-21 - JESUS CHRIST
Gone With The Pope,1975,1/8 CTV_2021-12-20 - A Very Mobster Xmas!& 3/8 CTV_2020-12-22 - Mafioso Mania!
Eastern Promises,2007,2/8 CTV_2021-12-20 - A Very Mobster Xmas!
Massacre Mafia Style,1974,3/8 CTV_2021-12-20 - A Very Mobster Xmas!
Blast Of Silence,1961,4/8 CTV_2021-12-20 - A Very Mobster Xmas!
Graveyard Of Honor,1975,5/8 CTV_2021-12-20 - A Very Mobster Xmas!
The Death Collector,1976,6/8 CTV_2021-12-20 - A Very Mobster Xmas!& 4/8 CTV_2020-12-22 - Mafioso Mania!
Caliber 9,1972,7/8 CTV_2021-12-20 - A Very Mobster Xmas!& 6/8 CTV_2020-12-22 - Mafioso Mania!
The Italian Connection,1972,8/8 CTV_2021-12-20 - A Very Mobster Xmas!& 7/8 CTV_2020-12-22 - Mafioso Mania!
Trash Humpers,2009,"2/12 CTV_2021-12-17 - WTF Friday!& 4/10 CTV_2021-07-15 - Weird Comedies!& 3/10 CTV_2020-07-23 - HERZOG / KORINE!!  Tune in  at  for a pre-show before the beautiful, dumpster fire!"
Tales From The Quadead Zone,1987,4/12 CTV_2021-12-17 - WTF Friday!
The Sinful Dwarf,1973,5/12 CTV_2021-12-17 - WTF Friday!
Don’t Panic,1988,6/12 CTV_2021-12-17 - WTF Friday!
Attack of the Killer Refrigerator,1990,7/12 CTV_2021-12-17 - WTF Friday!
Death Spa,1989,"8/12 CTV_2021-12-17 - WTF Friday!& 4/8 CTV_2020-08-14 - NEON OOZE!  A fluorescent, pornoplasmic celluloid orgy of slime soaked schlock cinema from the pizza baby generation!"
The Long Island Cannibal Massacre,1980,10/12 CTV_2021-12-17 - WTF Friday!
A Nightmare on Drug Street,1989,12/12 CTV_2021-12-17 - WTF Friday!
The Stuff,1985,1/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!& 3/10 CTV_2020-11-13 - TOXIC SCHLOCK!
Street Trash,1987,2/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!& 7/9 CTV_2021-10-18 - MORE BODY HORROR!& 4/10 CTV_2020-11-13 - TOXIC SCHLOCK!& 4/9 CTV_2020-07-24 - ABSURD MAYHEM: Trash Action Schlock from the Video Bin!
Class of Nuke ‘Em High,1986,3/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!
Slime City,1988,"4/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!& 7/10 CTV_2020-11-13 - TOXIC SCHLOCK!& 6/8 CTV_2020-08-14 - NEON OOZE!  A fluorescent, pornoplasmic celluloid orgy of slime soaked schlock cinema from the pizza baby generation!"
Prince of Darkness,1987,5/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!& 7/10 CTV_2021-10-08 - TRIPPY ASS HORROR!
The Blob,1988,6/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!& 1/10 CTV_2021-09-24 - ALIEN INVASIONS!
The Green Slime,1968,7/7 CTV_2021-12-16 - @sarahsquirm presents: The Slime-o-rama Show!& 9/10 CTV_2020-11-13 - TOXIC SCHLOCK!
Jumpin Jack Flash,1986,1/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.
Ratboy,1986,2/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.
Whip it!,2009,3/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.
A New Leaf,1971,5/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.
Xiu Xiu: The Sent Down Girl,1998,6/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.
Outrage,1950,7/7 CTV_2021-12-15 - We welcome guest curator @celleuloid with their presentation of: Actresses Turned Directors.
Sweet Bunch,1983,1/6 CTV_2021-12-14 - Greek Arthouse and Experimental Cinema
Morning Patrol,1987,2/6 CTV_2021-12-14 - Greek Arthouse and Experimental Cinema
Kinetta,2005,3/6 CTV_2021-12-14 - Greek Arthouse and Experimental Cinema
Topos,1985,4/6 CTV_2021-12-14 - Greek Arthouse and Experimental Cinema& 7/7 CTV_2021-11-08 - It's Art House Monday!
Allegory,1981,5/6 CTV_2021-12-14 - Greek Arthouse and Experimental Cinema
Voyage to Cythera,1984,6/6 CTV_2021-12-14 - Greek Arthouse and Experimental Cinema
Amadeus,1984,1/7 CTV_2021-12-13 - Classical Night!
Rigoletto,2013,2/7 CTV_2021-12-13 - Classical Night!
Mahler,1974,3/7 CTV_2021-12-13 - Classical Night!
Kinski's Paganini,1989,4/7 CTV_2021-12-13 - Classical Night!
The Tales Of Hoffmann,1951,5/7 CTV_2021-12-13 - Classical Night!
Lisztomania,1975,6/7 CTV_2021-12-13 - Classical Night!& 6/8 CTV_2021-06-16 - MUSIC BIOPICS
Genius Within: The Inner Life Of Glenn Gould,2009,7/7 CTV_2021-12-13 - Classical Night!
Baby Blood,1990,"1/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!& 3/7 CTV_2021-09-30 - High Art Genre: Films with a very arthouse sensibility, that happen to be ‘genre’ movies"
Next of Kin,1982,2/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!& 5/9 CTV_2021-01-08 - OZPLOITATION: Australian Genre Films from the 70’s & 80’s
Premutos: Fallen Angel,1997,3/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!
Night of the Demon,1957,4/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!& 8/9 CTV_2020-10-15 - The Great Outdoors: Horror in the Woods!& 8/11 CTV_2020-07-29 - Guest curator @astraleyez presents: TV Evocations: A Night of Mystical Television & Cinema /
Island of Death,1977,5/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!
Retribution,2006,6/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!
Tell me Something,1999,7/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!
Peacock King,1988,8/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!
Satan’s Slave,1980,9/13 CTV_2021-12-10 - TRAVELOGUE OF TERROR! We go around the world with our pal @theodore_ted_logan for a journey into weird and wild terror!
